Source_Name RAJ2000 DEJ2000 Redshift SpectrumType Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_beta CLASS SED_class Variability_Index Frac_Variability Unc_Frac_Variability Flux1000 Unc_Flux1000
J0013.9-1854 3.4804000854492188 -18.911800384521484 0.094846 PowerLaw 3038.32861328125 2.9878050446068005e-14 1.9337117671966553 3.072710949613214e-14 1.9128351211547852 0.016906332224607468 bll HSP 8.941786766052246 0.0 10.0 2.7073879249606136e-10 3.281573277003069e-11
J0014.1+1910 3.536799907684326 19.171300888061523 0.477 PowerLaw 1171.664794921875 2.3493463034360285e-13 2.384697198867798 2.7002914335973183e-13 2.297421455383301 0.12494310736656189 bll LSP 47.45022201538086 0.8344805240631104 0.22594748437404633 2.4721702462926487e-10 3.307961543574933e-11
J0014.1-5022 3.5478999614715576 -50.37030029296875 0.01 PowerLaw 2206.918212890625 6.275206997910163e-14 2.1108486652374268 6.26166192464403e-14 2.105785608291626 -0.00039478615508414805 bll HSP 11.309004783630371 0.16137516498565674 0.1977090835571289 2.9863175821098764e-10 3.174023890939459e-11
J0014.2+0854 3.569499969482422 8.911399841308594 0.163 PowerLaw 1183.07470703125 1.4769607791561418e-13 2.4910736083984375 1.442071559821373e-13 2.4932684898376465 -0.011927529238164425 bll "" 12.518305778503418 0.2622030973434448 0.419450581073761 1.5047690871128339e-10 3.50463824627667e-11
J0014.3-0500 3.586400032043457 -5.01200008392334 0.791 PowerLaw 1642.3924560546875 1.7107665381977527e-13 2.373673915863037 1.816285430432732e-13 2.362002372741699 0.050394754856824875 bcu LSP 24.513874053955078 0.3875091075897217 0.14616912603378296 4.037840062309783e-10 4.3234318902740654e-11
J0015.2+3537 3.824700117111206 35.6171989440918 0.57 PowerLaw 4917.39306640625 4.180248202169216e-15 2.020397901535034 3.762677476315318e-15 2.0326061248779297 -0.0483851432800293 bll ISP 14.71856689453125 0.0 10.0 1.0141965045562529e-10 2.785436117869189e-11
J0015.6+5551 3.907099962234497 55.86360168457031 0.218 PowerLaw 6877.41845703125 8.246097828548161e-15 1.8515236377716064 8.053864548201745e-15 1.864011526107788 -0.01332353986799717 bll HSP 11.952563285827637 0.13677939772605896 0.3185754418373108 3.3723335235436025e-10 4.716958768025137e-11
J0016.2-0016 4.060999870300293 -0.28060001134872437 1.57631 LogParabola 440.3278503417969 6.963467129306178e-12 2.724256753921509 8.324399329573406e-12 2.6355695724487305 0.1861037164926529 fsrq LSP 101.33364868164062 0.547480583190918 0.13025037944316864 4.0176020843496474e-10 3.9902834508831475e-11
J0016.5+1702 4.139599800109863 17.03890037536621 1.709 PowerLaw 528.5462036132812 1.226643352864043e-12 2.730292320251465 1.4236458149505249e-12 2.646658420562744 0.14123184978961945 fsrq "" 25.678346633911133 0.593492865562439 0.24580024182796478 1.243420921781535e-10 3.034379691957412e-11
J0017.5-0514 4.394899845123291 -5.2347002029418945 0.227 LogParabola 894.58203125 1.4479363888431074e-12 2.535158395767212 1.6411510822197939e-12 2.5720808506011963 0.11479245126247406 FSRQ LSP 277.9689025878906 0.9674733877182007 0.21379916369915009 7.145970482014263e-10 5.02258165613334e-11
