Source_Name,sigma²_NXS(month),err_sigma²_NXS(month),a*sigma²_NXS(month),sigma²_NXS(3 day),err_sigma²_NXS(3 day)
J0137.0+4751,0.4232782530491189,0.019323310307005414,1.5504998930041007,0.1819493312990646,0.01532623503864703
J0137.6-2430,0.3539547008389697,0.03764724696547618,1.2965625373516065,,
J0137.9+5814,,,,,
J0138.0+2247,,,,,
J0138.5-4613,,,,,
J0138.6+2923,,,,,
J0139.0+2601,,,,,
J0140.6-0758,,,,,
J0140.6+8736,,,,,
J0141.4-0928,0.49233731218525034,0.02269676144912597,1.8034683907480897,0.10481277842651508,0.014871451152636385
J0142.7-0543,,,,,
J0143.1-3622,0.34689961045704937,0.03936399859751296,1.2707192137140175,,
J0143.3-0119,,,,,
J0143.5-3156,,,,,
J0143.7-5846,,,,,
J0144.6+2705,0.15312209367452517,0.011067119641662371,0.5608976793602588,-0.01925246497642825,0.007222644174106117
J0145.0-2732,,,,,
J0145.9+2319,,,,,
J0146.0-6746,,,,,
J0146.3+4606,,,,,
J0146.9-5202,,,,,
J0147.6+1547,,,,,
J0147.6-6028,,,,,
J0147.6-0825,,,,,
J0147.7-1321,,,,,
J0148.2+5201,,,,,
J0148.6+0127,,,,,
J0149.6-0734,,,,,
J0150.5-3337,,,,,
J0150.6-5448,,,,,
J0151.0+0539,,,,,
J0151.3+8601,,,,,
J0151.4-3607,,,,,
J0151.7+5455,,,,,
J0152.2+3714,,,,,
J0152.2+2206,,,,,
J0152.6+0147,,,,,
J0153.0+7517,,,,,
J0153.4+7114,,,,,
J0153.5-5107,,,,,
J0153.9+0823,,,,,
J0154.3-0236,,,,,
J0154.5-6604,,,,,
J0155.0+4433,,,,,
J0155.4-0625,,,,,
J0156.1+1502,,,,,
J0156.5+3914,,,,,
J0156.6-1758,,,,,
J0156.8-4744,,,,,
J0156.9-5301,,,,,
J0156.9+4648,,,,,
J0156.9-3235,,,,,
J0157.7-4614,,,,,
J0158.2+2515,,,,,
J0158.5-5005,,,,,
J0158.5-3932,,,,,
J0158.8+0101,,,,,
J0159.3-4523,,,,,
J0159.5+1046,,,,,
J0159.7-2740,,,,,
J0200.3-4109,,,,,
J0200.6-6637,0.19803303054328367,0.04132569484211373,0.7254097994800782,,
J0201.1+0036,,,,,
J0201.1-4347,,,,,
J0202.1+3939,,,,,
J0202.3-0605,,,,,
J0202.4+0849,,,,,
J0202.6-0258,,,,,
J0202.7+4204,,,,,
J0202.9-0225,,,,,
J0203.6+7233,,,,,
J0203.7+3042,0.7844679099540306,0.047284377044230747,2.873564615443942,,
J0203.9+5411,,,,,
J0204.0-3334,,,,,
J0204.1-2919,,,,,
J0204.3-3140,,,,,
J0204.3+2417,,,,,
J0204.8+1513,0.6614231223209571,0.04585008234643824,2.4228423572473847,,
J0205.0-1700,1.6599675775416198,0.03987036398588087,6.080585366311947,1.8866666878870897,0.04303003496145335
J0205.2+3212,0.4517694220864616,0.03867375759493635,1.6548651757129085,,
J0206.0-0958,,,,,
J0206.4-1151,0.517872417425758,0.05008034707723562,1.8970053907192674,,
J0206.4+3829,,,,,
J0206.8-5744,,,,,
J0207.4-3855,,,,,
J0207.5-1049,,,,,
J0207.5-2402,,,,,
J0207.9+2203,,,,,
J0207.9+0953,,,,,
J0208.3-6838,,,,,
J0208.5-0046,,,,,
J0208.6+3523,,,,,
J0209.3+4449,,,,,
J0209.3-5228,0.06924892123268879,0.01927280774687588,0.253663976801269,,
J0209.7+6437,,,,,
J0209.9+7229,,,,,
J0210.1+2518,,,,,
J0210.5-1445,,,,,
J0210.7-5101,1.4703061576972691,0.01735533822036091,5.385841402838004,0.7624366403595159,0.012623579947247917
J0211.1-0646,,,,,
J0211.2+1051,0.2895517099356405,0.015304903047369254,1.060649565717866,0.10138269860452091,0.012217001047386036
J0212.2-2559,,,,,
J0212.2-0219,,,,,
J0212.4-3502,,,,,
J0212.8-2721,,,,,
J0212.9+2244,,,,,
J0213.8-6949,,,,,
J0214.1-4733,,,,,
J0214.2-7025,,,,,
J0214.3+5145,,,,,
J0214.4-5822,,,,,
J0214.6-4333,,,,,
J0214.8-6150,,,,,
J0214.9-3722,,,,,
J0215.2-1619,,,,,
J0215.3+7555,,,,,
J0215.9+0521,,,,,
J0215.9+0300,,,,,
J0216.5+2313,,,,,
J0216.6-1015,,,,,
J0216.8-6635,,,,,
J0216.8+0510,,,,,
J0217.0-0821,,,,,
J0217.2+0837,0.230846706863458,0.02539764889058484,0.8456087495962267,,
J0217.4+7352,0.0749339319830417,0.022435900803465116,0.2744885962960165,,
J0217.8+0144,0.39346230144635824,0.020126408113149623,1.4412818326930004,0.08483199386659884,0.012821615957182692
J0218.7+2640,,,,,
J0218.9-2305,,,,,
J0218.9+3643,,,,,
J0219.0+2443,,,,,
J0219.1-1724,,,,,
J0219.5+0724,,,,,
J0220.2+3246,,,,,
J0220.8-0841,,,,,
J0221.1+3556,3.2509374466221512,0.038100654389331905,11.908426966990296,2.471218899228383,0.03374063525177372
J0221.2-1312,,,,,
J0221.5+2513,,,,,
J0221.8+3730,,,,,
J0222.0-1616,0.18100278898629582,0.043127608176933854,0.6630267511620266,,
J0222.6+4302,0.36961240637429493,0.011298562797792124,1.353917883586213,0.2672999115208329,0.010475466189556882
J0223.0-3447,,,,,
J0223.0+6821,,,,,
J0223.1-1117,,,,,
J0223.2-1653,,,,,
J0223.5+5415,,,,,
J0223.5+3912,,,,,
J0223.5-0928,,,,,
J0224.0-7941,,,,,
J0224.0-1850,,,,,
J0224.2+0700,,,,,
J0224.2+1616,,,,,
J0224.9+1843,,,,,
J0225.1-2604,0.3124735098254446,0.04898391476899476,1.1446138327705333,,
J0225.5-5618,,,,,
J0225.6-4502,,,,,
J0225.8+1310,,,,,
J0226.3-1845,,,,,
J0226.5+0938,,,,,
J0226.5-4441,,,,,
J0226.6-0553,,,,,
J0226.7+2312,,,,,
J0227.0-1739,,,,,
J0227.2+3928,,,,,
J0227.3+0201,,,,,
J0227.8+2246,,,,,
J0228.0-3026,,,,,
J0228.1+8208,,,,,
J0228.2-3102,,,,,
J0228.3-5547,0.890339027047782,0.026117905286949794,3.261378434234763,0.40360004054181503,0.019290524397752678
J0228.5-2234,,,,,
J0228.7+6718,,,,,
J0229.5-3644,0.6181310080818185,0.043591968081153364,2.2642601054728853,,
J0230.0-5236,,,,,
J0230.8+4032,0.31156577049631407,0.03488701023645685,1.141288715728602,,
J0231.2-5754,,,,,
J0231.2-4745,1.2426500651767545,0.05347365133493507,4.5519201121691255,,
J0231.8+1322,,,,,
J0232.5-1118,,,,,
J0232.8+2018,,,,,
J0232.9+2608,,,,,
J0233.0+3740,,,,,
J0233.5+0654,,,,,
J0233.9+8041,,,,,
J0234.3-0628,,,,,
J0235.6-2939,,,,,
J0236.8-6136,2.616312129267979,0.10489475612965385,9.583746973234152,,
J0237.1-0714,,,,,
J0237.3+2000,,,,,
J0237.6-3602,,,,,
J0237.6+0923,,,,,
J0237.7+0206,,,,,
J0237.8+2848,1.1666556767571545,0.01956746905637788,4.273546984646724,0.7570469628396244,0.012693764906667541
J0238.1-3905,,,,,
J0238.2+1531,,,,,
J0238.4-3116,,,,,
J0238.6+1637,1.2398539300560885,0.023716287925777287,4.541677660131518,0.6614878352921283,0.017473321970092208
J0238.7+2555,,,,,
J0239.5+1326,,,,,
J0239.5-1353,,,,,
J0239.7+0415,0.17420750794234616,0.04062497599686961,0.6381351285575596,,
J0240.6+3528,,,,,
J0240.8-3401,,,,,
J0241.0-0505,,,,,
J0241.3+6543,,,,,
J0241.9-1603,,,,,
J0242.3+1102,0.269949933454341,0.05068322002778026,0.9888467926767046,,
J0242.3+5216,0.12800067720889743,0.03836838327776081,0.46887605230646523,,
J0242.6+1735,,,,,
J0242.9+0045,,,,,
J0243.2-0550,,,,,
J0243.4+7119,,,,,
J0243.7+0321,,,,,
J0244.6-5819,,,,,
J0244.7+1316,,,,,
J0245.1-0257,,,,,
J0245.4-5950,,,,,
J0245.4+2408,,,,,
J0245.5-4502,,,,,
