Source_Name RAJ2000 DEJ2000 Redshift SpectrumType Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_beta CLASS SED_class
J0003.2+2207 0.8058000206947327 22.130199432373047 0.09983 LogParabola 4582.17822265625 5.158159598235568e-15 2.1164166927337646 1.0684074644147588e-14 1.8975305557250977 0.9998927116394043 bll LSP
J0003.3-1928 0.8464999794960022 -19.467599868774414 -inf LogParabola 1021.7991943359375 4.54952969828476e-13 2.281949996948242 5.614108895650449e-13 2.102951765060425 0.23374992609024048 bcu LSP
J0003.3-5905 0.8482999801635742 -59.09519958496094 -inf PowerLaw 1740.5125732421875 4.3985041981277687e-14 2.273909568786621 4.348576688084811e-14 2.278926134109497 -0.006078486330807209 bcu ""
J0003.5+0717 0.8795999884605408 7.295000076293945 -inf LogParabola 2149.713623046875 2.7537173252377076e-14 2.2172672748565674 4.201747931249604e-14 1.964383840560913 0.4647964835166931 bcu LSP
J0003.9-1149 0.9986000061035156 -11.82509994506836 1.30999 LogParabola 1362.569580078125 1.7159216484773782e-13 2.1779603958129883 2.1293688654781123e-13 2.0099005699157715 0.2019716501235962 bll LSP
J0004.0+0840 1.0073000192642212 8.675700187683105 2.057129 LogParabola 2901.4052734375 1.9492111917596144e-14 2.002624988555908 2.907071623898562e-14 1.5944288969039917 0.4375789761543274 bll ISP
J0004.3+4614 1.075700044631958 46.242698669433594 1.81 LogParabola 683.0358276367188 1.5384192400894059e-12 2.587958335876465 1.770265791595227e-12 2.490067958831787 0.13974934816360474 fsrq LSP
J0004.4-4737 1.1090999841690063 -47.62329864501953 0.88 PowerLaw 848.0161743164062 8.389526053032004e-13 2.4382216930389404 9.096000862240938e-13 2.3934719562530518 0.07083267718553543 fsrq LSP
J0005.9+3824 1.4986000061035156 38.4010009765625 0.229 LogParabola 495.85479736328125 4.169482467619723e-12 2.6222498416900635 5.05723327798302e-12 2.5237925052642822 0.18571999669075012 fsrq LSP
J0006.3-0620 1.5992000102996826 -6.349299907684326 0.347 PowerLaw 2238.3740234375 2.590572680959309e-14 2.1502833366394043 3.116251831233874e-14 2.123748779296875 0.12460078299045563 bll LSP
J0006.4+0135 1.6094000339508057 1.5981999635696411 0.787 LogParabola 2320.78662109375 2.759552365804753e-14 2.080756664276123 3.7670970401242065e-14 1.7125117778778076 0.3439277112483978 bll ISP
J0006.4-5621 1.6102999448776245 -56.36349868774414 0.2912 PowerLaw 994.7024536132812 1.3465006290947629e-13 2.48356556892395 1.6371727920832385e-13 2.4229586124420166 0.1763264238834381 bll LSP
J0007.7+4008 1.9275000095367432 40.13399887084961 -inf LogParabola 1652.0909423828125 1.584781974704394e-13 2.13956618309021 1.7997894299036366e-13 1.9320873022079468 0.1454445719718933 bcu ""
J0008.0+4711 2.0023999214172363 47.19499969482422 -999.0 LogParabola 1333.5521240234375 1.1528477825151207e-12 2.0533266067504883 1.230940913435341e-12 1.926044225692749 0.07583692669868469 bll LSP
J0008.0-3937 2.0048000812530518 -39.63199996948242 -inf PowerLaw 774.57763671875 3.8269477105508376e-13 2.625964403152466 4.860426297548237e-13 2.6039628982543945 0.219093456864357 bcu LSP
J0008.4-2339 2.1110000610351562 -23.651399612426758 0.147 LogParabola 4584.3369140625 9.985922983966281e-15 1.7175812721252441 1.299832789824042e-14 1.4628757238388062 0.19936692714691162 bll ""
J0008.4+1455 2.1245999336242676 14.923199653625488 -inf LogParabola 1593.162109375 1.9542414832641325e-13 2.0788698196411133 2.1926530686597334e-13 1.937902808189392 0.10533338040113449 bcu ""
J0009.1+0628 2.297300100326538 6.482800006866455 1.562629 PowerLaw 1643.1922607421875 2.0571344378373518e-13 2.149775743484497 2.2124522266325775e-13 2.1215102672576904 0.047164175659418106 bll LSP
J0009.3+5030 2.34660005569458 50.51150131225586 -999.0 LogParabola 1379.1864013671875 1.2287696901647216e-12 1.9903688430786133 1.3288884966392023e-12 1.8838741779327393 0.06952761113643646 bll HSP
J0009.7-3217 2.4442999362945557 -32.29759979248047 0.02542 PowerLaw 1571.5107421875 9.116198871087985e-14 2.2399141788482666 9.905317804046257e-14 2.2020461559295654 0.05805715173482895 rdg ISP
J0009.8-4317 2.4532999992370605 -43.29790115356445 0.56 PowerLaw 1693.8843994140625 9.04243653153565e-14 2.170680284500122 9.06250104799021e-14 2.1687417030334473 0.0005519107799045742 bll ""
J0009.8+1340 2.4653000831604004 13.671199798583984 -inf PowerLaw 3366.886962890625 9.736999482526029e-15 2.0345723628997803 1.5190380556065822e-14 1.5114799737930298 0.7426486015319824 bcu HSP
J0009.8-6358 2.474299907684326 -63.969600677490234 -inf PowerLaw 420.4732666015625 1.3019782734574603e-12 2.93074893951416 1.3011705428389586e-12 2.930189609527588 -0.013547711074352264 bcu LSP
J0010.6+2043 2.6501998901367188 20.733200073242188 0.6 PowerLaw 1318.482177734375 1.0727630941767888e-13 2.390063524246216 1.1624264105534327e-13 2.328984498977661 0.07038871943950653 fsrq LSP
J0010.6-3025 2.6675000190734863 -30.425800323486328 1.19 LogParabola 606.6101684570312 2.2436982827223062e-12 2.4249508380889893 2.5821133425862897e-12 2.2681288719177246 0.15624313056468964 fsrq LSP
J0010.8-2154 2.717400074005127 -21.900400161743164 -inf PowerLaw 1205.26025390625 1.077397245312535e-13 2.3785786628723145 1.0543886456212265e-13 2.3885586261749268 -0.014169260859489441 bcu ""
J0011.4-4110 2.8501999378204346 -41.174198150634766 0.091 PowerLaw 1013.241943359375 1.3267705890104148e-13 2.5006473064422607 1.4842754846380868e-13 2.4800832271575928 0.08663003146648407 bcu ISP
J0011.4+0057 2.85509991645813 0.9646000266075134 1.492 LogParabola 757.169677734375 1.7565123617765965e-12 2.353538990020752 1.8841597119317877e-12 2.2449185848236084 0.08350546658039093 fsrq LSP
J0011.8-3142 2.954699993133545 -31.71540069580078 -inf PowerLaw 4122.47509765625 6.796266261083813e-15 1.9424331188201904 7.403483852179687e-15 1.867314338684082 0.05408364534378052 bcu ""
J0012.0+7043 3.003200054168701 70.73259735107422 -inf PowerLaw 2268.22265625 7.916766336458006e-14 2.377556562423706 8.007993817756368e-14 2.3748841285705566 0.008144872263073921 bcu LSP
J0013.0+3355 3.2636001110076904 33.920101165771484 1.682 PowerLaw 1856.10205078125 4.7398733836511234e-14 2.259154796600342 5.383348050647628e-14 2.188725471496582 0.09959833323955536 fsrq LSP
J0013.1-3955 3.2802000045776367 -39.92720031738281 -inf LogParabola 1488.841552734375 2.2209535913923079e-13 2.053915500640869 2.547878900048539e-13 1.8977919816970825 0.1328691989183426 bll LSP
J0013.4+0950 3.3543999195098877 9.836999893188477 -inf PowerLaw 5697.54296875 5.72428931512603e-15 1.9560378789901733 4.853173950631869e-15 2.018277883529663 -0.07006733864545822 bcu HSP
J0013.6+4051 3.401400089263916 40.856300354003906 0.2555 PowerLaw 1961.4095458984375 4.6393600495586024e-14 2.2855615615844727 4.113982781826439e-14 2.3133091926574707 -0.06169112026691437 agn LSP
J0013.6-0424 3.420799970626831 -4.401700019836426 1.075 PowerLaw 2865.45068359375 2.3299584307810532e-14 2.1303787231445312 2.2311896457466972e-14 2.144674062728882 -0.0322580523788929 fsrq LSP
J0013.9-1854 3.4804000854492188 -18.911800384521484 0.094846 PowerLaw 3038.32861328125 2.9878050446068005e-14 1.9337117671966553 3.072710949613214e-14 1.9128351211547852 0.016906332224607468 bll HSP
J0014.1+1910 3.536799907684326 19.171300888061523 0.477 PowerLaw 1171.664794921875 2.3493463034360285e-13 2.384697198867798 2.7002914335973183e-13 2.297421455383301 0.12494310736656189 bll LSP
J0014.1-5022 3.5478999614715576 -50.37030029296875 0.01 PowerLaw 2206.918212890625 6.275206997910163e-14 2.1108486652374268 6.26166192464403e-14 2.105785608291626 -0.00039478615508414805 bll HSP
